date,ground_no2,satellite_no2,curr_temp_celsius,curr_surface_net_solar_radiation,curr_surface_pressure,curr_boundary_layer_height,prev_temp_celsius,prev_surface_net_solar_radiation,prev_surface_pressure,prev_boundary_layer_height,prev_wind_dir
2022-02-28,41.7772,0.0002454628788350417,12.6896191067166,1524954.9083333332,100617.63300000002,743.48005,5.807685528379522,413290.54000000004,100914.62583333334,312.1008908333333,5
2022-03-01,25.138816666666667,0.00022640487107785,9.988498942057314,1538092.0916666668,101076.64458333334,1076.5873250000002,5.760476222182788,404517.50666666665,101269.49,541.12055,5
2022-03-02,39.47881666666667,0.00020746692676600835,11.703168063693601,1313878.8166666667,100370.13799999999,676.5123941666667,4.831997865619105,386292.50666666665,100624.7,146.0025675,7
2022-03-03,33.12672777777778,0.00029293045749271667,13.767870415581621,1567641.375,99726.70041666667,995.517175,7.7918039032907425,424159.9483333333,99901.77750000001,185.23749916666665,1
2022-03-04,26.7202,0.00016254145812028562,12.363780073686103,1367134.6818181819,99675.89454545453,1137.0027154545455,7.485639915781595,314798.58181818185,99773.78363636365,354.6427436363636,5
2022-03-05,17.837366666666664,0.00011818315290486454,10.042608303493946,1312856.45,99883.10833333334,1848.18945,6.171759195038789,367998.7349999999,99999.175,616.3331283333333,4
2022-03-06,14.845883333333333,0.00012197373338732104,9.885249498155405,1284898.2916666667,99913.60708333335,1792.642025,5.067740029999727,353307.89999999997,100042.03833333333,520.4006416666667,4
2022-03-07,30.19366666666667,0.000341631993094975,10.826386176215301,1482298.8666666665,99995.8125,1281.8483583333334,4.157654872085131,429778.02499999997,100115.62166666666,317.37693083333335,5
2022-03-08,22.2987,0.00013566891086436668,8.251601155598982,1105321.1,100633.945,1346.6084,4.046726018732267,294687.03,100654.77,672.00006,5
2022-03-09,38.56265,0.0003081094419772667,12.393625725640215,1673824.95,100543.09833333333,779.9011166666666,4.289138470274052,469872.56,100676.32250000001,196.367025,8
2022-03-10,41.71346666666667,0.00023139029625515002,14.721418423122854,1687527.1333333335,100648.457,858.4517300000001,6.403578347870821,476839.8375000001,100757.52875,189.28791166666667,6
2022-03-12,17.000866666666667,0.00011956589033603333,8.844103325737871,1012243.1666666666,100870.69066666666,1143.3794,6.27137839577417,264270.1866666667,100945.12666666666,506.4103,4
2022-03-13,17.29165,0.00011106325616142125,10.643403625488304,1424682.3833333335,100830.33633333333,1139.5469166666667,6.159397379557315,393376.0474999999,100969.61499999999,323.7530525,4
2022-03-19,20.11583333333333,0.00010707217695308457,13.936160447862434,1519351.7083333333,101354.04083333333,1318.25615,9.70424376979021,444506.86083333334,101681.21249999998,638.7808925,4
2022-03-20,16.690166666666666,8.521410963357872e-05,13.962343682183183,1611152.5,101659.05166666668,1859.3291583333332,8.554601056648046,503660.1583333334,101790.0775,590.7000366666666,5
2022-03-21,28.198016666666664,0.0002239160797958,14.10992160373266,1827128.8333333333,101749.07166666667,1407.0305583333336,8.410493006850755,540264.1375000001,101850.63583333332,417.45903416666664,4
2022-03-22,25.716399999999997,0.00018152121175298334,15.315861850314695,1830839.5250000001,101674.3325,1277.8483666666666,8.55736902410336,557835.5833333334,101746.73166666667,338.73043916666666,5
2022-03-23,48.875499999999995,0.0003214773984698333,19.55100996229386,1888522.7583333335,101233.16166666667,1242.981675,10.418384228330693,568975.3883333333,101386.01,279.75125916666667,8
2022-03-24,48.756,0.00022202033306848335,21.48229793972442,1902809.1583333334,100810.19666666667,1278.1766,12.296834679805892,576299.8616666667,100955.77166666667,285.39011999999997,1
2022-03-25,31.3807,0.00014212392926510288,21.37538808186851,1884710.866666667,100653.7595,1596.6562916666664,12.657029377330458,578104.7616666666,100792.30625000001,355.10378833333334,1
2022-03-26,31.52808333333333,0.0001179346136455385,21.575526597764778,1886870.9166666667,100825.46416666666,2015.36025,12.794389458858626,586140.02,100933.2375,420.46577500000006,5
2022-03-27,23.461833333333335,7.105959482709874e-05,21.50348731146921,1919279.4083333334,100963.43416666666,2027.6290583333332,13.906105411413966,590172.7458333332,101057.12124999998,501.0021891666667,5
